CLAVE,NOMBRE,3,4,5,6,7,8,9,10,11,14,17,18,19,20,21,22,23,24,26,28,29,30,31
V01005,ANSOF  200 MG CAJA C/30 TABS,36.00,28.80,25.20,19.80,24.00,19.80,23.40,21.60,21.60,25.20,25.92,21.60,18.00,20.52,25.20,23.40,22.32,27.00,16.20,23.40,21.60,19.80,18.00
V01006,ARISTOCILIN 500 MG CAJA C/12 CAPS,37.26,37.06,26.08,20.49,24.84,20.49,24.22,22.36,22.36,26.08,26.83,22.36,18.63,21.24,26.08,24.22,23.10,27.95,16.77,24.22,22.36,20.49,18.63
V01007,ARISTOCILIN 500 MG CAJA C/24 CAPS,71.66,71.46,50.16,39.41,47.78,39.41,46.58,43.00,43.00,50.16,51.60,43.00,35.83,40.85,50.16,46.58,44.43,53.75,32.25,46.58,43.00,39.41,35.83
V01008,AXOFLANOL 400 MG CAJA C/20 TABS,99.00,98.80,69.30,54.45,66.00,54.45,64.35,59.40,59.40,69.30,71.28,59.40,49.50,56.43,69.30,64.35,61.38,74.25,44.55,64.35,59.40,54.45,49.50
V01009,CILONAXOL 5/30 MG CAJA C/10 TABS,41.75,41.55,29.22,22.96,27.83,22.96,27.14,25.05,25.05,29.22,30.06,25.05,20.87,23.80,29.22,27.14,25.88,31.31,18.79,27.14,25.05,22.96,20.87
V01010,CILORA 10 MG CAJA C/10 TABS,24.00,23.80,16.80,13.20,16.00,13.20,15.60,14.40,14.40,16.80,17.28,14.40,12.00,13.68,16.80,15.60,14.88,18.00,10.80,15.60,14.40,13.20,12.00
V01011,CILORA 10 MG CAJA C/20 TABS,32.00,31.80,22.40,17.60,21.33,17.60,20.80,19.20,19.20,22.40,23.04,19.20,16.00,18.24,22.40,20.80,19.84,24.00,14.40,20.80,19.20,17.60,16.00
V01013,CITRA- 50 50 MG CAJA C/10 TABS,57.33,57.13,40.13,31.53,38.22,31.53,37.26,34.40,34.40,40.13,41.28,34.40,28.67,32.68,40.13,37.26,35.54,43.00,25.80,37.26,34.40,31.53,28.67
V01018,CLORIXAN 200 MG CAJA C/20 TABS,80.26,80.06,56.18,44.14,53.51,44.14,52.17,48.16,48.16,56.18,57.79,48.16,40.13,45.75,56.18,52.17,49.76,60.20,36.12,52.17,48.16,44.14,40.13
V01024,DAZOR 100 MG CAJA C/12 CAPS,106.00,105.80,74.20,58.30,70.67,58.30,68.90,63.60,63.60,74.20,76.32,63.60,53.00,60.42,74.20,68.90,65.72,79.50,47.70,68.90,63.60,58.30,53.00
V01025,DEFLENOL 600 MG CAJA C/20 TABS,78.00,77.80,54.60,42.90,52.00,42.90,50.70,46.80,46.80,54.60,56.16,46.80,39.00,44.46,54.60,50.70,48.36,58.50,35.10,50.70,46.80,42.90,39.00
V01027,DIPERA 2 MG CAJA C/12 TABS,14.00,13.80,9.80,7.70,9.33,7.70,9.10,8.40,8.40,9.80,10.08,8.40,7.00,7.98,9.80,9.10,8.68,10.50,6.30,9.10,8.40,7.70,7.00
V01028,DIPROVIC 100 MG CAJA C/20 UNID,72.00,71.80,50.40,39.60,48.00,39.60,46.80,43.20,43.20,50.40,51.84,43.20,36.00,41.04,50.40,46.80,44.64,54.00,32.40,46.80,43.20,39.60,36.00
V01034,FLUMEDIL 10 MG CAJA C/30 TABS,50.00,49.80,35.00,27.50,33.34,27.50,32.50,30.00,30.00,35.00,36.00,30.00,25.00,28.50,35.00,32.50,31.00,37.50,22.50,32.50,30.00,27.50,25.00
V01037,INTERNOL 100 MG CAJA C/28 UNID,64.00,63.80,44.80,35.20,42.67,35.20,41.60,38.40,38.40,44.80,46.08,38.40,32.00,36.48,44.80,41.60,39.68,48.00,28.80,41.60,38.40,35.20,32.00
V01038,INTERNOL 50 MG CAJA C/28 UNID,38.00,37.80,26.60,20.90,25.33,20.90,24.70,22.80,22.80,26.60,27.36,22.80,19.00,21.66,26.60,24.70,23.56,28.50,17.10,24.70,22.80,20.90,19.00
V01039,IPYROL 25 MG CAJA C/30 TABS,44.00,43.80,30.80,24.20,29.33,24.20,28.60,26.40,26.40,30.80,31.68,26.40,22.00,25.08,30.80,28.60,27.28,33.00,19.80,28.60,26.40,24.20,22.00
V01040,IPYROL 50 MG CAJA C/30 TABS,68.00,67.80,47.60,37.40,45.34,37.40,44.20,40.80,40.80,47.60,48.96,40.80,34.00,38.76,47.60,44.20,42.16,51.00,30.60,44.20,40.80,37.40,34.00
V01041,KEPLOZOL 200 MG CAJA C/10 TABS,60.00,59.80,42.00,33.00,40.00,33.00,39.00,36.00,36.00,42.00,43.20,36.00,30.00,34.20,42.00,39.00,37.20,45.00,27.00,39.00,36.00,33.00,30.00
V01049,MEVICFOR 500 MG CAJA C/30 TABS,46.00,45.80,32.20,25.30,30.67,25.30,29.90,27.60,27.60,32.20,33.12,27.60,23.00,26.22,32.20,29.90,28.52,34.50,20.70,29.90,27.60,25.30,23.00
V01050,MEZELOL 100 MG CAJA C/20 TABS,34.00,33.80,23.80,18.70,22.67,18.70,22.10,20.40,20.40,23.80,24.48,20.40,17.00,19.38,23.80,22.10,21.08,25.50,15.30,22.10,20.40,18.70,17.00
V01051,MEZELOL 50 MG CAJA C/20 TABS,30.00,29.80,21.00,16.50,20.00,16.50,19.50,18.00,18.00,21.00,21.60,18.00,15.00,17.10,21.00,19.50,18.60,22.50,13.50,19.50,18.00,16.50,15.00
